"symlink","align-right"
"SNDK","99.9"
"LITE","99.7"
"MU","99.6"
"AG","99.5"
"BE","99.4"
"WDC","99.3"
"COHR","99.2"
"TER","99.1"
"ROIV","99.0"
"CIEN","98.9"
"RVMD","98.8"
"MRNA","98.6"
"ESLT","98.5"
"VRT","98.4"
"MKSI","98.3"
"AEIS","98.2"
"WBD","98.1"
"ASX","98.0"
"AMAT","97.9"
"TTMI","97.8"
"ATI","97.7"
"ASTS","97.5"
"GLW","97.4"
"TPL","97.3"
"HL","97.2"
"FIX","97.1"
"LRCX","97.0"
"COKE","96.9"
"ALB","96.8"
"KEYS","96.7"
"EXAS","96.6"
"STX","96.4"
"KRMN","96.3"
"SCCO","96.2"
"AA","96.1"
"AU","96.0"
"NGD","95.9"
"MTZ","95.8"
"EQX","95.7"
"FTI","95.6"
"AXIA","95.5"
"FTAI","95.3"
"PAAS","95.2"
"NOK","95.1"
"TSEM","95.0"
"INTC","94.9"
"ONTO","94.8"
"CRS","94.7"
"XPO","94.6"
"ASML","94.5"
"AGI","94.4"
"TIGO","94.2"
"NVMI","94.1"
"MTSI","94.0"
"VLO","93.9"
"CNQ","93.8"
"HBM","93.7"
"UI","93.6"
"MT","93.5"
"SATS","93.4"
"FDX","93.3"
"RGC","93.1"
"AMKR","93.0"
"FN","92.9"
"WWD","92.8"
"CAT","92.7"
"CDE","92.6"
"APA","92.5"
"CVE","92.4"
"TRGP","92.3"
"FIVE","92.2"
"TS","92.0"
"SU","91.9"
"KLAC","91.8"
"MOD","91.7"
"HII","91.6"
"B","91.5"
"ENTG","91.4"
"CFLT","91.3"
"TEVA","91.2"
"WDS","91.1"
"NYT","90.9"
"AEM","90.8"
"PWR","90.7"
"EQNR","90.6"
"ROST","90.5"
"DOW","90.4"
"RGLD","90.3"
"CF","90.2"
"JBHT","90.1"
"HWM","90.0"
"RKLB","89.9"
"RBC","89.7"
"TPR","89.6"
"PR","89.5"
"LMT","89.4"
"NEM","89.3"
"GFS","89.2"
"E","89.1"
"LYB","89.0"
"TSM","88.9"
"ODFL","88.8"
"IMO","88.6"
"WPM","88.5"
"AM","88.4"
"KGC","88.3"
"SQM","88.2"
"HAL","88.1"
"PBR","88.0"
"DTM","87.9"
"JAZZ","87.8"
"GEV","87.7"
"CCJ","87.5"
"TECK","87.4"
"PAA","87.3"
"THC","87.2"
"NBIS","87.1"
"PBR/A","87.0"
"SSL","86.9"
"EC","86.8"
"RIO","86.7"
"OVV","86.6"
"FLS","86.4"
"MGA","86.3"
"CHRW","86.2"
"ERIC","86.1"
"CW","86.0"
"GNRC","85.9"
"ALSN","85.8"
"VALE","85.7"
"GFI","85.6"
"BHP","85.5"
"VIV","85.3"
"PSX","85.2"
"VTRS","85.1"
"LSCC","85.0"
"WMB","84.9"
"RRX","84.8"
"XOM","84.7"
"HTHT","84.6"
"DD","84.5"
"SITM","84.4"
"KNX","84.2"
"STLD","84.1"
"NXT","84.0"
"FCX","83.9"
"CAH","83.8"
"NTR","83.7"
"NOC","83.6"
"EIX","83.5"
"TGT","83.4"
"FNV","83.3"
"LHX","83.1"
"KMI","83.0"
"MPC","82.9"
"CASY","82.8"
"GMED","82.7"
"JNJ","82.6"
"ADI","82.5"
"MCK","82.4"
"GSK","82.3"
"DY","82.2"
"ORANY","82.0"
"EQIX","81.9"
"CM","81.8"
"TRP","81.7"
"HCA","81.6"
"COP","81.5"
"STM","81.4"
"CBOE","81.3"
"BMY","81.2"
"BG","81.1"
"UMC","80.9"
"VZ","80.8"
"MRK","80.7"
"BKR","80.6"
"FANG","80.5"
"CNC","80.4"
"DG","80.3"
"AMX","80.2"
"JCI","80.1"
"DVN","80.0"
"AKAM","79.9"
"TD","79.7"
"CQP","79.6"
"SOLS","79.5"
"CVX","79.4"
"HSY","79.3"
"RTX","79.2"
"CTRA","79.1"
"ABEV","79.0"
"CMI","78.9"
"DELL","78.8"
"GH","78.6"
"RPRX","78.5"
"SBS","78.4"
"KB","78.3"
"TTE","78.2"
"SAIA","78.1"
"BIIB","78.0"
"WAB","77.9"
"GILD","77.8"
"NVS","77.7"
"AEP","77.5"
"ULS","77.4"
"VTR","77.3"
"AR","77.2"
"OXY","77.1"
"AMGN","77.0"
"EPD","76.9"
"NGG","76.8"
"FMX","76.7"
"DRS","76.6"
"ELAN","76.4"
"VG","76.3"
"IREN","76.2"
"CLH","76.1"
"CACI","76.0"
"HSBC","75.9"
"NEE","75.8"
"IRM","75.7"
"ETR","75.6"
"WELL","75.5"
"CRCL","75.3"
"ENB","75.2"
"BAP","75.1"
"EQT","75.0"
"CSX","74.9"
"DE","74.8"
"RTO","74.7"
"SLB","74.6"
"BIP","74.5"
"PH","74.4"
"PBA","74.2"
"EOG","74.1"
"REGN","74.0"
"MPLX","73.9"
"CME","73.8"
"RCI","73.7"
"PCAR","73.6"
"LNG","73.5"
"TDY","73.4"
"LUV","73.3"
"FTS","73.1"
"VOD","73.0"
"SHG","72.9"
"AMRZ","72.8"
"JBL","72.7"
"BALL","72.6"
"NI","72.5"
"WCC","72.4"
"CNP","72.3"
"PNW","72.2"
"PCG","72.0"
"SHEL","71.9"
"FE","71.8"
"UTHR","71.7"
"EXPE","71.6"
"ES","71.5"
"PEN","71.4"
"ABBNY","71.3"
"HAS","71.2"
"MAR","71.1"
"OKE","70.9"
"BBDO","70.8"
"USFD","70.7"
"Q","70.6"
"BMO","70.5"
"NDSN","70.4"
"BP","70.3"
"PLD","70.2"
"KTOS","70.1"
"COR","70.0"
"EVRG","69.9"
"QSR","69.7"
"MPWR","69.6"
"AZN","69.5"
"HST","69.4"
"ALGN","69.3"
"EXC","69.2"
"HON","69.1"
"ATO","69.0"
"ILMN","68.9"
"ULTA","68.8"
"BBD","68.6"
"OMC","68.5"
"UNP","68.4"
"OHI","68.3"
"RNR","68.2"
"CNI","68.1"
"TWLO","68.0"
"TXT","67.9"
"CB","67.8"
"DVA","67.7"
"WMT","67.5"
"EMA","67.4"
"BUD","67.3"
"WM","67.2"
"GOOGL","67.1"
"XEL","67.0"
"CCEP","66.9"
"TJX","66.8"
"GE","66.7"
"CEG","66.6"
"ITUB","66.4"
"GM","66.3"
"GOOG","66.2"
"AME","66.1"
"DGX","66.0"
"DTE","65.9"
"IEX","65.8"
"DUK","65.7"
"CSCO","65.6"
"BURL","65.5"
"SNA","65.3"
"SBUX","65.2"
"SRE","65.1"
"REG","65.0"
"OGE","64.9"
"OSK","64.8"
"TAK","64.7"
"MLI","64.6"
"LAMR","64.5"
"APG","64.4"
"CP","64.2"
"APH","64.1"
"DOV","64.0"
"SLF","63.9"
"FLEX","63.8"
"SPG","63.7"
"DLR","63.6"
"WES","63.5"
"FTV","63.4"
"EGP","63.3"
"AEE","63.1"
"BWXT","63.0"
"O","62.9"
"LLY","62.8"
"ED","62.7"
"SUZ","62.6"
"LNT","62.5"
"NVT","62.4"
"YUMC","62.3"
"FER","62.2"
"EA","62.0"
"KIM","61.9"
"ON","61.8"
"TW","61.7"
"IX","61.6"
"BBIO","61.5"
"MFG","61.4"
"KR","61.3"
"ZTO","61.2"
"IONS","61.1"
"BNS","60.9"
"TRV","60.8"
"CMS","60.7"
"CX","60.6"
"ELS","60.5"
"WTS","60.4"
"GIL","60.3"
"SO","60.2"
"SUI","60.1"
"APP","60.0"
"GD","59.9"
"ABBV","59.7"
"WPC","59.6"
"BEPC","59.5"
"EME","59.4"
"TKO","59.3"
"ET","59.2"
"NSC","59.1"
"L","59.0"
"LECO","58.9"
"GLPI","58.8"
"GWW","58.6"
"SMFG","58.5"
"GRMN","58.4"
"HOLX","58.3"
"PFG","58.2"
"T","58.1"
"VIK","58.0"
"WEC","57.9"
"NUE","57.8"
"BDX","57.7"
"AMD","57.5"
"PSA","57.4"
"ABNB","57.3"
"GAP","57.2"
"WBS","57.1"
"KO","57.0"
"NLY","56.9"
"EXPD","56.8"
"HLT","56.7"
"D","56.6"
"BEN","56.4"
"RY","56.3"
"BCE","56.2"
"AVGO","56.1"
"EBAY","56.0"
"MSI","55.9"
"CTVA","55.8"
"ADM","55.7"
"IFF","55.6"
"TSLA","55.5"
"CLS","55.3"
"MNST","55.2"
"CL","55.1"
"AER","55.0"
"NTRS","54.9"
"AGNC","54.8"
"ITT","54.7"
"XP","54.6"
"UPS","54.5"
"PPL","54.4"
"MO","54.2"
"CCK","54.1"
"BSBR","54.0"
"PFE","53.9"
"CVS","53.8"
"CNA","53.7"
"CAE","53.6"
"ARMK","53.5"
"TSN","53.4"
"RL","53.3"
"PEP","53.1"
"CFG","53.0"
"FTNT","52.9"
"ANET","52.8"
"BK","52.7"
"LYV","52.6"
"SAN","52.5"
"LIN","52.4"
"CR","52.3"
"IR","52.2"
"LYG","52.0"
"NRG","51.9"
"BCH","51.8"
"ITW","51.7"
"YUM","51.6"
"CMCSA","51.5"
"SYY","51.4"
"COO","51.3"
"C","51.2"
"VRTX","51.1"
"CINF","50.9"
"INCY","50.8"
"NVDA","50.7"
"BMRN","50.6"
"QXO","50.5"
"EXR","50.4"
"STT","50.3"
"CHD","50.2"
"BTI","50.1"
"GGG","50.0"
"BBVA","49.9"
"MCD","49.7"
"MTB","49.6"
"RSG","49.5"
"HIG","49.4"
"IVZ","49.3"
"PKX","49.2"
"SNX","49.1"
"EXE","49.0"
"USB","48.9"
"MUFG","48.8"
"CTAS","48.6"
"ALL","48.5"
"WTRG","48.4"
"SJM","48.3"
"MFC","48.2"
"PHG","48.1"
"DLTR","48.0"
"PKG","47.9"
"EW","47.8"
"HUBB","47.7"
"ROKU","47.5"
"PEG","47.4"
"RIVN","47.3"
"TOL","47.2"
"FAST","47.1"
"RGA","47.0"
"TT","46.9"
"NTRA","46.8"
"H","46.7"
"KEY","46.6"
"XYZ","46.4"
"JTKWY","46.3"
"TM","46.2"
"PUK","46.1"
"NET","46.0"
"GS","45.9"
"GL","45.8"
"COST","45.7"
"GME","45.6"
"CRL","45.5"
"NICE","45.3"
"ALC","45.2"
"MRVL","45.1"
"AVY","45.0"